"name"	"x"	"y"	"color"	"athaliana"	"common"	"description"	"clustering"	"hub"	"pfam"
"g14678"	6559	4346	"#ffcc00"	""	"g14678"	""	0.570802005012531	4.01849330870778e-12	""
"Cre14.g614050"	6948	4046	"#ffcc00"	"AT1G27920"	"Cre14.g614050"	"microtubule-associated protein 65-8"	0.655865261499064	3.78365389901053e-13	"PF03999"
"Cre16.g652950"	6939	3989	"#ffcc00"	"AT3G42660"	"Cre16.g652950"	"transducin family protein / WD-40 repeat family protein"	0.691675231243577	3.72792929331966e-13	"PF12341,PF00400"
"g8145"	6936	3968	"#ffcc00"	"AT1G79350"	"g8145"	"RING/FYVE/PHD zinc finger superfamily protein"	0.679074131998749	1.15790111337665e-12	""
"Cre08.g374000"	6942	4120	"#ffcc00"	""	"Cre08.g374000"	""	0.605279642058166	3.67922879758982e-13	""
"Cre09.g412450"	7181	4108	"#ffcc00"	"AT5G16270"	"Cre09.g412450"	"sister chromatid cohesion 1 protein 4"	0.833430742255991	8.52258675272175e-14	"PF04824,PF04825"
"Cre10.g455850"	7064	3883	"#ffcc00"	"AT4G02060"	"MCM7"	"Minichromosome maintenance (MCM2/3/5) family protein"	0.701418439716312	3.21610581415895e-13	"PF00493"
"g13822"	6928	4150	"#ffcc00"	""	"g13822"	""	0.646919135108111	2.74689526876186e-13	""
"g1244"	6802	4145	"#ffcc00"	"AT3G44050"	"g1244"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	0.650007243227582	3.08826701286813e-13	"PF00225"
"Cre10.g430900"	6654	4173	"#ffcc00"	"AT1G80260"	"Cre10.g430900"	"Spc97 / Spc98 family of spindle pole body (SBP) component"	0.611870100783875	2.73284704883979e-13	"PF04130"
"Cre11.g482550"	6909	4102	"#ffcc00"	""	"Cre11.g482550"	""	0.656835530881332	3.44836971687049e-13	""
"g15304"	6749	4191	"#ffcc00"	"AT1G27880"	"g15304"	"DEAD/DEAH box RNA helicase family protein"	0.637415982076176	3.03347895517206e-13	"PF00098,PF00270"
"Cre05.g241250"	6964	4092	"#ffcc00"	""	"Cre05.g241250"	""	0.682217285517825	3.69327701751189e-13	"PF00533"
"Cre06.g261550"	6690	4131	"#ffcc00"	"AT5G17620"	"Cre06.g261550"	""	0.76	1.43432325404323e-13	""
"Cre06.g275400"	6999	4056	"#ffcc00"	""	"Cre06.g275400"	""	0.654888993859235	3.80098003691442e-13	"PF07202"
"Cre12.g507002"	6435	4349	"#ffcc00"	""	"Cre12.g507002"	""	0.618538324420677	2.00327616088701e-13	""
"Cre16.g682200"	5844	4498	"#ffcc00"	"AT1G72100"	"Cre16.g682200"	"late embryogenesis abundant domain-containing protein / LEA domain-containing protein"	0.485887096774194	3.53997581761232e-12	""
"g6264"	6384	4353	"#ffcc00"	""	"g6264"	""	0.482758620689655	1.28716815035956e-13	""
"Cre01.g020550"	6400	4292	"#ffcc00"	""	"HSP22D"	""	0.657894736842105	6.54998253866458e-14	""
"Cre16.g658250"	5183	4624	"#ffcc00"	""	"Cre16.g658250,g15904"	""	0.514285714285714	6.70362323721228e-12	""
"Cre02.g097200"	6086	4438	"#ffcc00"	""	"Cre06.g2963004"	""	0.447293447293447	2.84289143822933e-13	""
"Cre01.g010400"	7106	1752	"#ff0000"	""	"Cre01.g010400"	""	0.711111111111111	2.48515351791384e-12	""
"Cre12.g546500"	6998	1962	"#ff0000"	"AT3G07570"	"TEF22"	"Cytochrome b561/ferric reductase transmembrane with DOMON related domain"	0.624338624338624	3.04578519582379e-11	"PF03188,PF03351"
"Cre12.g546550"	6999	1802	"#ff0000"	""	"FEA1"	""	0.649122807017544	8.65576973100793e-12	"PF07692"
"Cre16.g687000"	7190	1684	"#ff0000"	"AT2G38460"	"Cre16.g687000"	"iron regulated 1"	0.75	1.46529079883394e-12	"PF06963"
"Cre03.g192050"	6960	2101	"#ff0000"	""	"FTR1"	""	0.530769230769231	1.18774983451907e-10	"PF03239"
"Cre05.g248300"	6839	2135	"#ff0000"	"AT5G67330"	"Cre05.g248300"	"natural resistance associated macrophage protein 4"	0.592334494773519	1.95820818362352e-10	"PF01566"
"Cre05.g241400"	6937	2072	"#ff0000"	"AT5G50160"	"Cre05.g241400"	"ferric reduction oxidase 8"	0.629885057471264	1.03038027013006e-10	"PF08022,PF01794"
"g9426"	6900	2143	"#ff0000"	""	"g9426"	""	0.784313725490196	4.82145502424593e-11	"PF07731,PF07732"
"Cre09.g387800"	7251	1842	"#ffff00"	"AT3G56090"	"FER1"	"ferritin 3"	0.666666666666667	1.34324688826096e-12	"PF00210"
"Cre02.g107650"	6993	1914	"#ff0000"	""	"Cre02.g107650"	""	0.647368421052632	1.77301939759684e-11	""
"Cre05.g248250"	7341	1806	"#666600"	"AT3G28760"	"Cre05.g248250"	""	0.476190476190476	2.06049338994461e-13	"PF01959"
"Cre01.g031350"	6887	2277	"#ff0000"	""	"Cre01.g031350"	""	0.701280227596017	2.33584259781463e-10	""
"Cre10.g466050"	6835	2270	"#ff0000"	""	"Cre10.g466050,g11422"	""	0.666666666666667	2.36097966306369e-10	""
"Cre12.g530400"	6884	2374	"#ff0000"	"AT3G20870"	"IRT1"	"ZIP metal ion transporter family"	0.707664884135472	6.05992689334162e-10	"PF02535"
"Cre12.g546600"	6850	2380	"#ff0000"	""	"FEA2"	""	0.686909581646424	6.70479532702778e-10	"PF07692"
"g14123"	6909	2252	"#ff0000"	""	"g14123"	""	0.687055476529161	2.37396466687465e-10	""
"Cre13.g583350"	7022	2019	"#ff0000"	""	"Cre13.g583350"	""	0.643333333333333	3.46700350991212e-11	""
"Cre13.g574500"	6792	2206	"#ff0000"	"AT3G56090"	"FER2"	"ferritin 3"	0.782258064516129	1.76245197536596e-10	"PF00210"
"Cre13.g588700"	6737	2217	"#ff0000"	""	"Cre13.g588700"	""	0.620782726045884	2.03585655839328e-10	""
"Cre14.g609500"	6742	2538	"#ff0000"	"AT2G38820"	"Cre14.g609500"	"Protein of unknown function (DUF506)"	0.628205128205128	1.2463838733832e-09	"PF04720"
"Cre16.g693819"	6870	2193	"#ff0000"	"AT1G77145"	"Cre16.g693819"	"Protein of unknown function (DUF506)"	0.668563300142248	1.94720128624608e-10	"PF04720"
"Cre17.g721000"	6628.5	2554	"#ff0000"	"AT3G47740"	"Cre17.g721000"	"ABC2 homolog 2"	0.671370967741935	2.97464427260689e-09	"PF00005"
"Cre17.g722300"	6795	2251	"#ff0000"	""	"Cre17.g722300"	""	0.663663663663664	2.15520707400169e-10	""
"Cre17.g709450"	6710	2499	"#ff0000"	""	"Cre17.g709450"	""	0.601626016260163	1.17662323460104e-09	""
"g2205"	6832	2209	"#ff0000"	"AT3G25190"	"g2205"	"Vacuolar iron transporter (VIT) family protein"	0.611295681063123	2.36011382444249e-10	""
"g2988"	6774	2238	"#ff0000"	"AT5G58030"	"TRS31"	"Transport protein particle (TRAPP) component"	0.816532258064516	2.26503863285941e-10	"PF04051"
"Cre03.g204500"	6623	2557	"#ff0000"	""	"Cre03.g204500"	""	0.607692307692308	1.96895284756242e-09	""
"Cre04.g227400"	6877	2229	"#ff0000"	"AT1G01580"	"FRE1"	"ferric reduction oxidase 2"	0.808602150537634	1.76145010314852e-10	"PF08030,PF08022,PF01794"
"Cre06.g310200"	6716	2457	"#ff0000"	"AT3G17670"	"Cre06.g310200"	"tetratricopeptide repeat (TPR)-containing protein"	0.606153846153846	1.84199352337296e-09	""
"Cre07.g319500"	6958	2259	"#ff0000"	"AT5G44070"	"Cre07.g319500"	"phytochelatin synthase 1 (PCS1)"	0.829885057471264	1.611744779275e-10	"PF05023"
"Cre07.g336800"	6894	2212	"#ff0000"	""	"Cre07.g336800"	""	0.641025641025641	1.95798376331027e-10	""
"Cre12.g512700"	6604	2645	"#ff0000"	"AT4G20330"	"Cre12.g512700"	"Transcription initiation factor TFIIE, beta subunit"	0.622983870967742	3.19331428653549e-09	""
"Cre12.g538250"	7107	1930	"#ff0000"	""	"Cre12.g538250"	""	0.58421052631579	1.20736723709224e-11	""
"g16149"	6418	2759	"#ff0000"	"AT1G63440"	"g16149"	"heavy metal atpase 5"	0.423076923076923	1.12129822818448e-08	"PF00702,PF00122,PF00403"
"Cre16.g669800"	6538	2670	"#ff0000"	"AT4G33080"	"Cre16.g669800"	"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein"	0.462534690101758	9.77376404263826e-09	"PF00069"
"Cre16.g682050"	6863	2126	"#ff0000"	""	"Cre16.g682050,g16462,g16463"	""	0.765591397849462	1.14378593027295e-10	"PF03266"
"Cre16.g676150"	6867	2404	"#ff0000"	"AT3G10920"	"MSD3"	"manganese superoxide dismutase 1"	0.833846153846154	5.88569045077168e-10	"PF02777,PF00081"
"Cre17.g732600"	7061	1852	"#ff0000"	""	"Cre17.g732600,g17703"	""	0.939393939393939	7.63785912915469e-12	"PF07250,PF09118"
"Cre06.g256150"	6576	2592	"#ff0000"	""	"Cre06.g256150"	""	0.65015015015015	2.62823866497649e-09	""
"Cre07.g320350"	6812	2214	"#ff0000"	"AT5G23240"	"CDJ5"	"DNAJ heat shock N-terminal domain-containing protein"	0.690690690690691	2.26335834868823e-10	"PF00226"
"g7712"	6895	2117	"#ff0000"	"AT2G39000"	"g7712"	"Acyl-CoA N-acyltransferases (NAT) superfamily protein"	0.707664884135472	1.05117350871071e-10	"PF00583"
"Cre07.g346250"	7051	2023	"#ff0000"	""	"Cre07.g346250"	""	0.904761904761905	2.12949356346183e-11	""
"Cre07.g349800"	6834	2294	"#ff0000"	""	"Cre07.g349800"	""	0.935672514619883	1.8424914157007e-10	""
"Cre08.g375400"	6514	2755	"#ff0000"	"AT1G62990"	"Cre08.g375400"	"KNOTTED-like homeobox of Arabidopsis thaliana 7"	0.486631016042781	8.05201986339802e-09	""
"Cre01.g036950"	3117	4200	"#cc00cc"	""	"Cre01.g036950"	""	0.166666666666667	4.38128858819521e-14	"PF02654"
"Cre06.g293950"	2905	4418	"#cc00cc"	"AT4G13930"	"SHMT2"	"serine hydroxymethyltransferase 4"	0.166666666666667	5.54465680049153e-15	"PF00464"
"g6310"	3596	4653	"#cc00cc"	""	"g6310"	""	0.166666666666667	6.72748765080489e-14	""
"g4362"	3619	4177	"#cc00cc"	"AT4G17600"	"g4362"	"Chlorophyll A-B binding family protein"	0.3	1.17105668599117e-12	""
"Cre09.g386200"	2791	3831	"#cc00cc"	""	"Cre09.g386200"	""	0.398860398860399	8.02067897545603e-12	""
"Cre01.g042700"	10112.5	10262	"#ff0000"	""	"Cre01.g042700"	""	0.398860398860399	8.02067897545603e-12	""
"Cre02.g102050"	10194.7998046875	10262	"#ff0000"	""	"Cre02.g102050"	""	0.398860398860399	8.02067897545603e-12	""
"Cre10.g423150"	6208	4597	"#ffcc00"	""	"Cre10.g423150"	""	0.333333333333333	9.046029280443e-14	""
"Cre08.g360150"	5199	4932	"#ffcc00"	""	"Cre08.g360150"	""	0.362573099415205	1.25212018302398e-11	""
"Cre03.g174900"	7193	4263	"#ffcc00"	""	"Cre03.g174900"	""	0.142857142857143	8.15689402787539e-13	"PF00536"
"Cre16.g681000"	5685	4598	"#ffcc00"	""	"Cre16.g681000"	""	0.4	5.79638919464507e-12	""
"Cre10.g456600"	5457	2718	"#ff0000"	""	"Cre10.g456600"	""	0.333333333333333	5.03163794951752e-10	""
"Cre17.g703100"	5488	2872	"#ff0000"	""	"Cre17.g703100"	""	0.3	4.240495396506e-10	""
"Cre02.g117179"	5431.5	3396	"#ff0000"	""	"Cre02.g117179"	""	0.403061224489796	5.53505351930076e-08	""
"Cre17.g703200"	5581	3188	"#ff0000"	"AT4G36490"	"Cre17.g703200"	"SEC14-like 12"	0.326811210999471	5.03772083986528e-08	"PF03765,PF00650"
"Cre07.g317950"	5727	2561	"#ff0000"	""	"Cre07.g317950"	""	0.1	2.88713339479496e-10	""
"g16118"	7047	1829	"#ff0000"	""	"g16118"	""	0.545454545454545	5.70743469541354e-12	"PF03798"
"Cre03.g199050"	6681	2087	"#ff0000"	"AT1G30640"	"Cre03.g199050"	"Protein kinase family protein"	0.717948717948718	7.07811951320979e-11	"PF00027,PF00069"
"g5732"	6727	2377	"#ff0000"	""	"g5732"	""	0.727272727272727	1.50809385184049e-10	""
"Cre09.g406150"	6648	2422	"#ff0000"	""	"Cre09.g406150"	""	0.5	8.66450977249819e-11	""
"Cre02.g079500"	6583	2360	"#ff0000"	""	"Cre02.g079500"	""	0.69047619047619	2.79065939561383e-10	""
"Cre10.g430300"	2053.5	3720	"#cc00cc"	""	"Cre10.g430300"	""	0	9.51181557223409e-18	""
"Cre15.g634550"	2517	3742	"#cc00cc"	""	"Cre15.g634550"	""	0.377777777777778	2.39990423668676e-16	""
"Cre12.g546800"	1971.31164550781	3715.71533203125	"#cc00cc"	""	"Cre12.g546800"	""	0	4.75590778611705e-18	"PF12499"
"Cre10.g457100"	6315	1594	"#666600"	""	"Cre10.g457100"	""	0.333333333333333	2.35600354943029e-16	"PF00881"
"Cre13.g588150"	5943	1579	"#666600"	"AT5G55120"	"Cre13.g588150"	"galactose-1-phosphate guanylyltransferase (GDP)s;GDP-D-glucose phosphorylases;quercetin 4'-O-glucosyltransferases"	0.333333333333333	7.31678120941084e-17	""
"Cre13.g606000"	5937	1486	"#666600"	"AT2G31060"	"EFG7"	"elongation factor family protein"	0.333333333333333	1.60969186607039e-17	"PF03144,PF00679,PF00009"
"Cre08.g369400"	6946	1462	"#ff0000"	"AT5G58740"	"Cre08.g369400"	"HSP20-like chaperones superfamily protein"	0.333333333333333	4.68844706336628e-14	"PF04969"
"Cre10.g458450"	4511	6905	"#ff6600"	"AT3G63080"	"GPX5"	"glutathione peroxidase 5"	0.6	1.90492283181868e-10	"PF00255"
"Cre16.g664400"	4295	6323	"#ff6600"	""	"Cre16.g664400"	""	0.545454545454545	2.97425129706827e-09	""
"g17577"	4972	6787	"#ff6600"	""	"g17577"	""	0.538011695906433	5.47995583883761e-09	""
"Cre16.g650150"	4625	6962	"#ff6600"	"AT2G45500"	"Cre16.g650150"	"AAA-type ATPase family protein"	0.358974358974359	1.72079373521456e-09	"PF00004,PF09336"
"Cre06.g282200"	4534	6941	"#ff6600"	"AT4G29160"	"VPS32"	"SNF7 family protein"	0.367521367521368	6.47637662112536e-09	"PF03357"
"Cre13.g578250"	4467	6571	"#ff6600"	""	"Cre13.g578250,Cre13.g577950,g14201"	""	0.474600870827286	2.36458260066162e-08	"PF03357,PF08819"
"Cre03.g178650"	7159	3813	"#ffcc00"	"AT5G44635"	"MCM6"	"minichromosome maintenance (MCM2/3/5) family protein"	0.662547892720307	3.09669594482137e-13	"PF00493"
"g6239"	7087	3854	"#ffcc00"	""	"g6239"	""	0.658324733402133	3.32989639552771e-13	"PF00350"
"Cre07.g338000"	7020	3954	"#ffcc00"	"AT1G44900"	"MCM2"	"minichromosome maintenance (MCM2/3/5) family protein"	0.631956054454263	3.63099657585739e-13	"PF00493,PF12619"
"Cre14.g619450"	7218	4017	"#ffcc00"	""	"Cre14.g619450"	""	0.71664493698392	1.6544120328223e-13	""
"g7530"	7281	3963	"#ffcc00"	"AT1G08130"	"g7530"	"DNA ligase 1"	0.669339748730286	1.87281502521073e-12	"PF04679,PF01068,PF04675"
"Cre01.g009250"	7097	3869	"#ffcc00"	"AT3G23890"	"TOP2"	"topoisomerase II"	0.606239712703876	3.43338494895362e-13	"PF00521,PF00204,PF02518"
"Cre01.g036100"	7233	3944	"#ffcc00"	"AT3G27640"	"Cre01.g036100"	"Transducin/WD40 repeat-like superfamily protein"	0.649463212843495	2.79372266850208e-13	"PF00400"
"g11180"	7050	3914	"#ffcc00"	"AT4G14700"	"g11180"	"origin recognition complex 1"	0.669845474613686	3.32615020354849e-13	"PF00628,PF01426,PF00004"
"Cre10.g430950"	7097	4114	"#ffcc00"	"AT3G19210"	"Cre10.g430950"	"homolog of RAD54"	0.744139108834032	1.67688918469761e-13	"PF00271,PF00176"
"g11467"	7192	3666	"#ffcc00"	""	"g11467"	""	0.699354838709677	2.38491946876988e-13	""
"Cre12.g512450"	7210	3864	"#ffcc00"	""	"Cre12.g512450,g12297"	""	0.658459979736575	2.68882929308397e-13	"PF04749"
"Cre12.g493400"	7135	3907	"#ffcc00"	"AT5G48600"	"SMC4"	"structural maintenance of chromosome 3"	0.661337209302326	1.95382642676133e-12	"PF06470,PF02463"
"g13546"	7051	4202	"#ffcc00"	"AT1G65470"	"g13546"	"chromatin assembly factor-1 (FASCIATA1) (FAS1)"	0.81531268264173	9.7588301058638e-14	"PF12253"
"Cre13.g589300"	7064	3970	"#ffcc00"	"AT2G32590"	"Cre13.g589300"	""	0.690599905526689	3.63521104183401e-13	"PF05786"
"Cre13.g568450"	7208	3768	"#ffcc00"	"AT3G10180"	"Cre13.g568450"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	0.641808573106283	1.90447034743513e-12	"PF00225"
"Cre14.g632100"	7086	4007	"#ffcc00"	""	"Cre14.g632100"	""	0.648586707410237	3.0817111769045e-13	"PF07707"
"Cre16.g648400"	7101	3896	"#ffcc00"	""	"Cre16.g648400"	""	0.783021223470662	2.93045867574355e-13	""
"Cre16.g674850"	7026	3755	"#ffcc00"	""	"Cre16.g674850"	""	0.745038167938931	3.19550175827325e-13	""
"g16846"	7322	3816	"#ffcc00"	"AT5G19820"	"g16846"	"ARM repeat superfamily protein"	0.813911472448058	1.16693880152652e-13	""
"Cre17.g701350"	7373	4073	"#ffcc00"	""	"Cre17.g701350,g17004"	""	0.86628733997155	4.43104270041921e-14	"PF01351"
"Cre17.g735650"	6973	4010	"#ffcc00"	""	"Cre17.g735650"	""	0.657471264367816	1.16768803992236e-12	""
"Cre02.g080450"	7412	3908	"#ffcc00"	""	"Cre02.g080450"	""	0.835994194484761	7.09435106064475e-14	""
"Cre02.g086650"	7170	3761	"#ffcc00"	"AT5G62410"	"SMC2"	"structural maintenance of chromosomes 2"	0.59278070016325	1.91200955879331e-12	"PF06470,PF02463"
"Cre03.g163850"	6997	4098	"#ffcc00"	"AT1G57820"	"Cre03.g163850"	"Zinc finger (C3HC4-type RING finger) family protein"	0.679869186046512	2.6546452912736e-13	"PF02182"
"Cre03.g166700"	7079	3876	"#ffcc00"	"AT5G07740"	"FOR1"	"actin binding"	0.725801332910187	3.18239008634599e-13	"PF02181"
"Cre03.g200900"	7163	3761	"#ffcc00"	""	"Cre03.g200900"	""	0.633830845771144	3.00725561131753e-13	""
"g4410"	7120	4090	"#ffcc00"	""	"g4410"	""	0.787801563030921	2.42284966255947e-13	"PF07004"
"Cre03.g190800"	7291	3911	"#ffcc00"	"AT5G59440"	"Cre03.g190800"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	0.641467727674624	1.39451996426403e-13	"PF02223"
"Cre03.g199350"	7134	3954	"#ffcc00"	"AT1G48310"	"Cre03.g199350"	"chromatin remodeling factor18"	0.808095952023988	2.82322393033843e-13	"PF00271,PF00176"
"g5420"	7067	3923	"#ffcc00"	"AT4G02070"	"g5420"	"MUTS homolog 6"	0.758193548387097	2.65839148325282e-13	"PF01624,PF00488,PF05192,PF05188"
"Cre06.g311250"	7052	4052	"#ffcc00"	"AT5G07740"	"Cre06.g311250"	"actin binding"	0.621946303313714	3.60009049202883e-13	"PF02181"
"Cre06.g281200"	7118	3768	"#ffcc00"	"AT4G21820"	"Cre06.g281200"	"binding;calmodulin binding"	0.623713865752082	3.56450166822626e-13	"PF11971,PF00612"
"Cre06.g295700"	7151	3848	"#ffcc00"	"AT5G46280"	"MCM3"	"Minichromosome maintenance (MCM2/3/5) family protein"	0.633664185277088	3.12947512463953e-13	"PF00493"
"Cre07.g316850"	7170	3915	"#ffcc00"	"AT2G16440"	"MCM4"	"Minichromosome maintenance (MCM2/3/5) family protein"	0.716642352149029	2.79044475052027e-13	"PF00493"
"Cre07.g312350"	6437	4196	"#ffcc00"	"AT5G41880"	"Cre07.g312350"	"DNA primases;DNA primases"	0.794736842105263	1.13439375870706e-13	"PF01896"
"Cre07.g351400"	7040	4081	"#ffcc00"	"AT2G20980"	"Cre07.g351400"	"minichromosome maintenance 10"	0.696634920634921	3.12572893266031e-13	"PF09329,PF09332"
"Cre07.g357450"	7030	4243	"#ffcc00"	""	"Cre07.g357450"	""	0.772027972027972	1.04471928820452e-13	""
"Cre08.g362500"	7124	3871	"#ffcc00"	"AT5G37630"	"Cre08.g362500"	"ARM repeat superfamily protein"	0.608805031446541	3.15476192049925e-13	""
"Cre08.g368250"	7079	3950	"#ffcc00"	""	"Cre08.g368250"	""	0.636126081985955	3.65956128969893e-13	""
"Cre08.g359800"	7031	4030	"#ffcc00"	"AT5G06590"	"Cre08.g359800"	""	0.687083465566487	2.54038643590744e-13	""
"Cre09.g408900"	6985	3911	"#ffcc00"	"AT3G16730"	"Cre09.g408900"	""	0.602121059086646	3.70592041544175e-13	"PF06278"
"Cre01.g001000"	7134	3982	"#ffcc00"	""	"Cre01.g001000"	""	0.735039317606291	2.30016187524007e-13	""
"Cre01.g053550"	7043	3958	"#ffcc00"	""	"Cre01.g053550"	""	0.685490634610008	3.24232915801348e-13	""
"Cre10.g432500"	7186	3813	"#ffcc00"	"AT3G57060"	"Cre10.g432500"	"binding"	0.636757608588595	1.95602731454912e-12	""
"Cre12.g519850"	7368	4001	"#ffcc00"	""	"Cre12.g519850"	""	0.662174303683738	1.25075984706153e-13	""
"Cre13.g588250"	7243	3892	"#ffcc00"	""	"Cre13.g588250"	""	0.781267846944603	1.7752267241521e-13	""
"Cre17.g697200"	7240	4066	"#ffcc00"	""	"Cre17.g697200"	""	0.675161479741632	1.99531550293117e-13	""
"g2939"	7088	3940	"#ffcc00"	"AT5G54990"	"g2939"	"RING/U-box superfamily protein"	0.681130268199234	3.35939765736406e-13	"PF00097"
"Cre03.g163000"	7036	3807	"#ffcc00"	""	"POC5"	""	0.771612903225806	2.94263379967601e-13	""
"Cre04.g215500"	7118	3799	"#ffcc00"	""	"Cre04.g215500"	""	0.645298013245033	3.42308292101077e-13	"PF09735"
"Cre05.g239250"	7200	3870	"#ffcc00"	"AT1G08620"	"Cre05.g239250"	"Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein"	0.69820374015748	2.1840299238843e-13	"PF05965,PF05964"
"Cre12.g528200"	7033	4120	"#ffcc00"	"AT1G08840"	"Cre12.g528200"	"DNA replication helicase, putative"	0.745441795231417	1.09946051850085e-12	"PF08696"
"Cre12.g521200"	7167	4207	"#ffcc00"	"AT5G22010"	"RFC1"	"replication factor C1"	0.772946859903382	1.0007015324487e-13	"PF08519,PF00004,PF00533"
"Cre02.g082000"	6760	4192	"#ffcc00"	"AT4G12740"	"Cre02.g082000"	"HhH-GPD base excision DNA repair family protein"	0.724014336917563	2.42355207355557e-13	"PF00730"
"Cre06.g280800"	6468	4314	"#ffcc00"	"AT4G37210"	"Cre06.g280800"	"Tetratricopeptide repeat (TPR)-like superfamily protein"	0.712660028449502	2.61730043998077e-13	""
"Cre03.g180050"	7338	4060	"#ffcc00"	"AT3G20740"	"Cre03.g180050"	"Transducin/WD40 repeat-like superfamily protein"	0.784769962982549	7.35424312920302e-14	""
"g5199"	6831	4160	"#ffcc00"	""	"g5199"	""	0.701460481099656	2.69210721106579e-13	""
"Cre05.g241150"	7157	3973	"#ffcc00"	"AT4G15890"	"Cre05.g241150"	"binding"	0.81537647681185	2.76703105065015e-13	""
"Cre02.g089600"	7261	4066	"#ffcc00"	""	"Cre02.g089600"	""	0.747752511898466	1.06602575508632e-13	""
"Cre01.g038150"	6786	4207	"#ffcc00"	"AT1G05910"	"Cre01.g038150"	"cell division cycle protein 48-related / CDC48-related"	0.806412583182093	1.74455477732225e-13	"PF00004,PF00439"
"Cre10.g420250"	6255	4449	"#ffcc00"	"AT3G05040"	"Cre10.g420250"	"ARM repeat superfamily protein"	0.590909090909091	3.26820129636996e-13	""
"Cre17.g741750"	7049	3781	"#ffcc00"	"AT1G05320"	"Cre17.g741750"	""	0.724497811693413	3.27744970781865e-13	""
"g269"	7201	3829	"#ffcc00"	""	"g269"	""	0.824242424242424	2.20182433578559e-13	""
"Cre01.g022000"	7242	4109	"#ffcc00"	"AT3G27120"	"Cre01.g022000"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	0.719972546328071	1.89510486748708e-13	"PF00004"
"Cre01.g050800"	7086	3798	"#ffcc00"	""	"Cre01.g050800"	""	0.703485838779956	3.11355380872785e-13	""
"Cre10.g453650"	7017	4155	"#ffcc00"	"AT4G14970"	"Cre10.g453650"	""	0.72035338090384	1.81830793191311e-13	""
"Cre10.g452300"	7155	4025	"#ffcc00"	""	"Cre10.g452300"	""	0.675556887423834	2.72114019890473e-13	"PF05063"
"g11513"	7275	4004	"#ffcc00"	""	"g11513"	""	0.820711417096959	1.95340498016367e-13	""
"Cre12.g512500"	7246	4052	"#ffcc00"	"AT3G02820"	"Cre12.g512500"	"zinc knuckle (CCHC-type) family protein"	0.746002173575532	1.54343109543796e-13	"PF07962"
